_step,04_peers/peer_1_epoch,03_hivemind/overshot_TBS,04_peers/peer_1_samples_per_second,04_peers/peer_4_samples_per_second,_timestamp,04_peers/peer_2_epoch,03_hivemind/global_epoch,04_peers/peer_2_epoch_oos,03_hivemind/next_fetch_time_s,03_hivemind/num_clients,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_3_samples_per_second,_runtime,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,03_hivemind/epoch_s,04_peers/peer_1_samples_accumulated,04_peers/peer_3_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_accumulated,04_peers/peer_4_samples_accumulated,03_hivemind/num_peers,03_hivemind/undershot_TBS,04_peers/peer_2_samples_per_second,03_hivemind/estimated_current_samples,03_hivemind/global_samples_accumulated
24,0.0,,252.2,252.01,1680698270.0,0.0,0,0.0,5.17,0,1011.0731980604342,1011.0731980604342,0.0,0.0,0.0,0.0,252.72,82,,,,7584.0,5120.0,,,0.0,9.04,5280.0,4288.0,4,,254.05,23624,23456
25,0.0,,252.01,252.38,1680698271.0,0.0,0,0.0,4.48,0,1011.2474634786581,1011.2474634786581,0.0,0.0,0.0,0.0,252.79,83,,,,7904.0,5408.0,,,0.0,7.85,5568.0,4576.0,4,,253.89,24834,24640
26,0.0,,252.24,252.57,1680698273.0,0.0,0,0.0,3.8,0,1010.4958873206062,1010.4958873206062,0.0,0.0,0.0,0.0,252.71,85,,,,8192.0,5696.0,,,0.0,6.65,5888.0,4864.0,4,,253.73,26044,25856
27,0.0,,252.51,252.5,1680698274.0,0.0,0,0.0,3.11,0,1010.687909286881,1010.687909286881,0.0,0.0,0.0,0.0,252.41,86,,,,8480.0,6016.0,,,0.0,5.44,6176.0,5184.0,4,,253.08,27268,27072
28,0.0,,252.27,252.61,1680698275.0,0.0,0,0.0,2.58,0,972.2441206139213,972.2441206139213,0.0,0.0,0.0,0.0,252.27,87,,,,8800.0,6304.0,,,0.0,4.51,6496.0,5472.0,4,,253.54,28386,28256
29,0.0,,216.18,250.29,1680698276.0,0.0,0,0.0,1.85,0,984.8292081018928,984.8292081018928,0.0,0.0,0.0,0.0,252.61,88,,,,9024.0,6624.0,,,0.0,3.24,6816.0,5792.0,4,,253.16,29573,29376
30,0.0,,228.46,251.03,1680698277.0,0.0,0,0.0,1.13,0,1000.4489080086032,1000.4489080086032,0.0,0.0,0.0,0.0,252.68,89,,,,9280.0,6912.0,,,0.0,1.97,7104.0,6080.0,4,,252.67,30793,30656
31,0.0,,243.0,251.81,1680698279.0,0.0,0,0.0,0.5,0,1005.1856811668973,1005.1856811668973,0.0,0.0,0.0,0.0,252.57,91,,,,9600.0,7232.0,,,0.0,0.76,7424.0,6400.0,4,,253.07,32005,31808
32,0.0,,248.42,251.07,1680698280.0,0.0,0,0.0,0.5,0,1004.698835563913,1004.698835563913,0.0,0.0,0.0,0.0,252.45,92,,,,9888.0,7520.0,,,0.0,0.0,7712.0,6688.0,4,,253.26,33211,32832
33,0.0,,250.36,249.15,1680698281.0,0.0,0,0.0,0.5,0,1004.698835563913,1004.698835563913,0.0,0.0,0.0,0.0,251.87,93,,,,10144.0,7776.0,,,0.0,0.0,7968.0,6944.0,4,,253.32,34424,32832
34,0.0,,250.36,249.15,1680698282.0,0.0,0,0.0,0.5,0,1004.698835563913,1004.698835563913,0.0,0.0,0.0,0.0,251.87,94,,,,10144.0,7776.0,,,0.0,0.0,7968.0,6944.0,4,,253.32,35635,32832
35,0.0,,250.36,249.15,1680698283.0,0.0,0,0.0,0.5,0,1004.698835563913,1004.698835563913,0.0,0.0,0.0,0.0,251.87,95,,,,10144.0,7776.0,,,0.0,0.0,7968.0,6944.0,4,,253.32,36856,32832
36,0.0,,250.36,249.15,1680698285.0,0.0,0,0.0,0.5,0,1004.698835563913,1004.698835563913,0.0,0.0,0.0,0.0,251.87,97,,,,10144.0,7776.0,,,0.0,0.0,7968.0,6944.0,4,,253.32,38066,32832
37,0.0,,250.36,249.15,1680698286.0,0.0,0,0.0,0.5,0,1004.698835563913,1004.698835563913,0.0,0.0,0.0,0.0,251.87,98,,,,10144.0,7776.0,,,0.0,0.0,7968.0,6944.0,4,,253.32,39265,32832
38,0.0,,250.36,249.15,1680698287.0,0.0,0,0.0,0.5,0,1004.698835563913,1004.698835563913,0.0,0.0,0.0,0.0,251.87,99,,,,10144.0,7776.0,,,0.0,0.0,7968.0,6944.0,4,,253.32,40473,32832
39,0.0,,250.36,249.15,1680698288.0,0.0,0,0.0,0.5,0,1004.698835563913,1004.698835563913,0.0,0.0,0.0,0.0,251.87,100,,,,10144.0,7776.0,,,0.0,0.0,7968.0,6944.0,4,,253.32,41687,32832
40,0.0,,250.36,249.15,1680698289.0,0.0,0,0.0,0.5,0,1004.698835563913,1004.698835563913,0.0,0.0,0.0,0.0,251.87,101,,,,10144.0,7776.0,,,0.0,0.0,7968.0,6944.0,4,,253.32,42894,32832
41,0.0,,250.36,249.15,1680698291.0,0.0,0,0.0,0.5,0,1004.698835563913,1004.698835563913,0.0,0.0,0.0,0.0,251.87,103,,,,10144.0,7776.0,,,0.0,0.0,7968.0,6944.0,4,,253.32,44103,32832
42,0.0,,250.36,249.15,1680698292.0,0.0,1,0.0,10.0,0,501.02300301330695,1004.698835563913,0.0,0.0,0.0,0.0,251.87,104,,,,10144.0,7776.0,,,0.0,32.47,7968.0,6944.0,4,,253.32,141,0
43,0.0,1.0,250.36,249.15,1680698293.0,0.0,1,1.0,10.0,0,942.5644315144198,942.5644315144198,1.0,1.0,0.0,0.0,251.87,105,650.3211414277107,32832.0,50.48582601500675,10144.0,0.0,32832.0,0.0,1.0,33.35,7968.0,0.0,4,0.0,253.32,1335,1088
44,1.0,,234.67,235.42,1680698294.0,1.0,1,0.0,10.0,0,913.3272495422925,913.3272495422925,1.0,1.0,0.0,0.0,234.8,106,,,,256.0,288.0,,,0.0,33.31,288.0,256.0,4,,237.67,2341,2176
45,1.0,,227.94,230.45,1680698296.0,1.0,1,0.0,10.0,0,972.8219394405968,972.8219394405968,1.0,1.0,0.0,0.0,226.89,108,,,,544.0,544.0,,,0.0,30.01,544.0,544.0,4,,228.05,3571,3424
46,1.0,,242.7,244.14,1680698297.0,1.0,1,0.0,10.0,0,934.7546133100034,934.7546133100034,1.0,1.0,0.0,0.0,242.95,109,,,,864.0,864.0,,,0.0,30.08,832.0,864.0,4,,243.03,4647,4448
47,1.0,,246.05,248.95,1680698298.0,1.0,1,0.0,10.0,0,958.296434191883,958.296434191883,1.0,1.0,0.0,0.0,218.04,110,,,,1152.0,1088.0,,,0.0,28.12,1056.0,1152.0,4,,221.72,5818,5664
48,1.0,,249.77,251.21,1680698299.0,1.0,1,0.0,10.0,0,988.4197813346583,988.4197813346583,1.0,1.0,0.0,0.0,221.39,111,,,,1440.0,1376.0,,,0.0,26.03,1376.0,1472.0,4,,235.93,7044,6880
