_step,04_peers/peer_1_epoch,03_hivemind/overshot_TBS,04_peers/peer_1_samples_per_second,04_peers/peer_4_samples_per_second,_timestamp,04_peers/peer_2_epoch,03_hivemind/global_epoch,04_peers/peer_2_epoch_oos,03_hivemind/next_fetch_time_s,03_hivemind/num_clients,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_3_samples_per_second,_runtime,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,03_hivemind/epoch_s,04_peers/peer_1_samples_accumulated,04_peers/peer_3_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_accumulated,04_peers/peer_4_samples_accumulated,03_hivemind/num_peers,03_hivemind/undershot_TBS,04_peers/peer_2_samples_per_second,03_hivemind/estimated_current_samples,03_hivemind/global_samples_accumulated
90,2.0,,249.13,250.4,1680698350.0,2.0,2,0.0,10.0,0,969.4158279623512,969.4158279623512,2.0,2.0,0.0,0.0,245.03,162,,,,2688.0,2688.0,,,0.0,21.23,2720.0,2752.0,4,,249.1,12190,12032
91,2.0,,249.78,219.36,1680698351.0,2.0,2,0.0,10.0,0,990.6277061609362,990.6277061609362,2.0,2.0,0.0,0.0,249.49,163,,,,3008.0,3008.0,,,0.0,19.54,3040.0,2976.0,4,,250.78,13409,13152
92,2.0,,250.34,238.76,1680698353.0,2.0,2,0.0,10.0,0,940.5828268541757,940.5828268541757,2.0,2.0,0.0,0.0,250.64,165,,,,3296.0,3296.0,,,0.0,19.45,3264.0,3296.0,4,,250.9,14473,14336
93,2.0,,250.22,245.43,1680698354.0,2.0,2,0.0,10.0,0,976.5629024721538,976.5629024721538,2.0,2.0,0.0,0.0,214.87,166,,,,3616.0,3552.0,,,0.0,17.49,3584.0,3584.0,4,,230.06,15683,15520
94,2.0,,249.86,248.63,1680698355.0,2.0,2,0.0,9.16,0,990.9562047649642,990.9562047649642,2.0,2.0,0.0,0.0,235.64,167,,,,3904.0,3840.0,,,0.0,16.03,3872.0,3904.0,4,,242.43,16886,16704
95,2.0,,248.45,249.84,1680698356.0,2.0,2,0.0,8.81,0,956.9556137416813,956.9556137416813,2.0,2.0,0.0,0.0,244.97,168,,,,4192.0,4160.0,,,0.0,15.42,4160.0,4192.0,4,,247.7,18015,17856
96,2.0,,249.08,209.57,1680698357.0,2.0,2,0.0,7.86,0,985.0779997638984,985.0779997638984,2.0,2.0,0.0,0.0,248.51,169,,,,4512.0,4448.0,,,0.0,13.75,4480.0,4416.0,4,,249.8,19226,19072
97,2.0,,249.91,234.4,1680698359.0,2.0,2,0.0,7.15,0,986.778350655281,986.778350655281,2.0,2.0,0.0,0.0,249.93,171,,,,4800.0,4768.0,,,0.0,12.51,4768.0,4736.0,4,,250.84,20419,20256
98,2.0,,241.61,243.99,1680698360.0,2.0,2,0.0,6.39,0,996.1953405700062,996.1953405700062,2.0,2.0,0.0,0.0,250.26,172,,,,5088.0,5056.0,,,0.0,11.18,5088.0,5024.0,4,,250.91,21630,21472
99,2.0,,246.91,248.29,1680698361.0,2.0,2,0.0,5.67,0,1000.4780212337196,1000.4780212337196,2.0,2.0,0.0,0.0,250.13,173,,,,5376.0,5376.0,,,0.0,9.93,5376.0,5344.0,4,,250.87,22837,22688
100,2.0,,249.28,249.59,1680698362.0,2.0,2,0.0,5.0,0,998.140008996608,998.140008996608,2.0,2.0,0.0,0.0,250.23,174,,,,5696.0,5664.0,,,0.0,8.75,5696.0,5632.0,4,,251.38,24031,23872
101,2.0,,250.1,250.15,1680698363.0,2.0,2,0.0,4.3,0,1000.6935006847439,1000.6935006847439,2.0,2.0,0.0,0.0,246.78,175,,,,5984.0,5952.0,,,0.0,7.53,5984.0,5952.0,4,,251.11,25234,25056
102,2.0,,250.33,250.23,1680698365.0,2.0,2,0.0,3.63,0,998.0303402500235,998.0303402500235,2.0,2.0,0.0,0.0,249.09,177,,,,6304.0,6240.0,,,0.0,6.35,6272.0,6240.0,4,,251.04,26432,26272
103,2.0,,250.26,250.36,1680698366.0,2.0,2,0.0,2.93,0,1000.256513409699,1000.256513409699,2.0,2.0,0.0,0.0,250.24,178,,,,6592.0,6560.0,,,0.0,5.13,6592.0,6528.0,4,,247.17,27639,27456
104,2.0,,250.49,250.15,1680698367.0,2.0,2,0.0,2.27,0,993.8944337011371,993.8944337011371,2.0,2.0,0.0,0.0,250.35,179,,,,6880.0,6848.0,,,0.0,3.96,6880.0,6848.0,4,,249.28,28828,28704
105,2.0,,250.24,242.9,1680698368.0,2.0,2,0.0,1.56,0,998.0858144930285,998.0858144930285,2.0,2.0,0.0,0.0,250.67,180,,,,7200.0,7168.0,,,0.0,2.74,7200.0,7136.0,4,,250.09,30035,29856
106,2.0,,249.97,247.2,1680698369.0,2.0,2,0.0,0.87,0,1000.1778522133172,1000.1778522133172,2.0,2.0,0.0,0.0,250.53,181,,,,7488.0,7456.0,,,0.0,1.53,7488.0,7424.0,4,,250.39,31238,31072
107,2.0,,250.06,249.19,1680698371.0,2.0,2,0.0,0.5,0,1000.4865296394747,1000.4865296394747,2.0,2.0,0.0,0.0,250.35,183,,,,7808.0,7776.0,,,0.0,0.32,7776.0,7712.0,4,,250.57,32443,32288
108,2.0,,249.48,249.73,1680698372.0,2.0,2,0.0,0.5,0,1000.0057471493806,1000.0057471493806,2.0,2.0,0.0,0.0,250.33,184,,,,8096.0,8064.0,,,0.0,0.0,8096.0,8032.0,4,,250.94,33641,32800
109,2.0,,249.58,249.31,1680698373.0,2.0,2,0.0,0.5,0,1000.0057471493806,1000.0057471493806,2.0,2.0,0.0,0.0,250.49,185,,,,8224.0,8192.0,,,0.0,0.0,8224.0,8160.0,4,,250.63,34845,32800
110,2.0,,249.58,249.31,1680698374.0,2.0,2,0.0,0.5,0,1000.0057471493806,1000.0057471493806,2.0,2.0,0.0,0.0,250.49,186,,,,8224.0,8192.0,,,0.0,0.0,8224.0,8160.0,4,,250.63,36052,32800
111,2.0,,249.58,249.31,1680698375.0,2.0,2,0.0,0.5,0,1000.0057471493806,1000.0057471493806,2.0,2.0,0.0,0.0,250.49,187,,,,8224.0,8192.0,,,0.0,0.0,8224.0,8160.0,4,,250.63,37255,32800
112,2.0,,249.58,249.31,1680698377.0,2.0,2,0.0,0.5,0,1000.0057471493806,1000.0057471493806,2.0,2.0,0.0,0.0,250.49,189,,,,8224.0,8192.0,,,0.0,0.0,8224.0,8160.0,4,,250.63,38453,32800
113,2.0,,249.58,249.31,1680698378.0,2.0,2,0.0,0.5,0,1000.0057471493806,1000.0057471493806,2.0,2.0,0.0,0.0,250.49,190,,,,8224.0,8192.0,,,0.0,0.0,8224.0,8160.0,4,,250.63,39649,32800
114,2.0,,249.58,249.31,1680698379.0,2.0,2,0.0,0.5,0,1000.0057471493806,1000.0057471493806,2.0,2.0,0.0,0.0,250.49,191,,,,8224.0,8192.0,,,0.0,0.0,8224.0,8160.0,4,,250.63,40848,32800
115,2.0,,249.58,249.31,1680698380.0,2.0,2,0.0,0.5,0,1000.0057471493806,1000.0057471493806,2.0,2.0,0.0,0.0,250.49,192,,,,8224.0,8192.0,,,0.0,0.0,8224.0,8160.0,4,,250.63,42212,32800
116,2.0,,249.58,249.31,1680698382.0,2.0,2,0.0,0.5,0,1000.0057471493806,1000.0057471493806,2.0,2.0,0.0,0.0,250.49,194,,,,8224.0,8192.0,,,0.0,0.0,8224.0,8160.0,4,,250.63,43416,32800
117,2.0,,249.58,249.31,1680698383.0,2.0,2,0.0,0.5,0,1000.0057471493806,1000.0057471493806,2.0,2.0,0.0,0.0,250.49,195,,,,8224.0,8192.0,,,0.0,0.0,8224.0,8160.0,4,,250.63,44628,32800
118,2.0,,249.58,249.31,1680698384.0,2.0,3,0.0,10.0,0,1000.0057471493806,1000.0057471493806,2.0,2.0,0.0,0.0,250.49,196,,,,8224.0,8192.0,,,0.0,32.05,8224.0,8160.0,4,,250.63,715,0
119,3.0,3.0,249.58,249.31,1680698385.0,3.0,3,0.0,10.0,0,1000.0057471493806,1000.0057471493806,3.0,3.0,0.0,0.0,250.49,197,713.297497640598,98496.0,45.983618488069624,0.0,0.0,32800.0,0.0,0.0,30.85,0.0,0.0,4,0.0,250.63,1917,0
120,3.0,,249.58,249.31,1680698386.0,3.0,3,0.0,10.0,0,1000.0057471493806,1000.0057471493806,3.0,3.0,0.0,0.0,250.49,198,,,,0.0,0.0,,,0.0,29.64,0.0,0.0,4,,250.63,3126,0
121,3.0,,249.58,249.31,1680698388.0,3.0,3,0.0,10.0,0,1000.0057471493806,1000.0057471493806,3.0,3.0,0.0,0.0,250.49,200,,,,0.0,0.0,,,0.0,28.44,0.0,0.0,4,,250.63,4331,0
