03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,04_peers/peer_4_samples_per_second,04_peers/peer_5_samples_accumulated,_step,04_peers/peer_5_epoch,04_peers/peer_4_epoch_oos,04_peers/peer_2_epoch,03_hivemind/reached_TBS,04_peers/peer_3_epoch_oos,04_peers/peer_6_epoch_oos,04_peers/peer_3_samples_per_second,_runtime,03_hivemind/num_peers,04_peers/peer_1_epoch,04_peers/peer_2_samples_accumulated,04_peers/peer_8_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/global_samples_accumulated,03_hivemind/actual_total_samples_per_second,04_peers/peer_8_epoch,04_peers/peer_2_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_6_epoch,03_hivemind/num_clients,04_peers/peer_2_epoch_oos,04_peers/peer_7_epoch_oos,04_peers/peer_6_samples_per_second,_timestamp,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_1_samples_accumulated,04_peers/peer_7_samples_accumulated,03_hivemind/epoch_s,03_hivemind/eta_next_epoch_s,04_peers/peer_5_samples_per_second,04_peers/peer_7_samples_per_second,03_hivemind/optimistic_total_samples_per_second,03_hivemind/undershot_TBS,04_peers/peer_5_epoch_oos,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_8_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_7_epoch,03_hivemind/global_epoch,03_hivemind/overshot_TBS,03_hivemind/per_epoch_training_samples,04_peers/peer_8_samples_per_second,04_peers/peer_3_samples_accumulated,04_peers/peer_6_samples_accumulated
,,1079.83,2560.0,13,2.0,0.0,2.0,,0.0,0.0,1161.88,99,8,2.0,2432.0,2016.0,32291,30336,8474.51332357437,2.0,1098.51,2560.0,2.0,0,0.0,0.0,1186.71,1683050895.0,2.0,2.0,2528.0,2016.0,,0.06,1167.97,1014.58,8474.51332357437,,0.0,1207.13,0.0,0.0,0.5,2.0,2,,,1030.57,2528.0,2688.0
,,933.21,4032.0,14,2.0,0.0,2.0,,0.0,0.0,1132.6,100,8,2.0,3776.0,2720.0,44476,32032,8648.573677443195,2.0,1062.06,3936.0,2.0,0,0.0,0.0,1177.61,1683050896.0,2.0,2.0,4128.0,3424.0,,0.0,1054.45,943.66,8648.573677443195,,0.0,1153.73,0.0,0.0,0.5,2.0,2,,,1017.19,4096.0,4224.0
,,1056.54,4288.0,15,2.0,0.0,2.0,,0.0,0.0,1183.72,102,8,2.0,4064.0,2720.0,53161,32064,7747.256588759269,2.0,1129.13,4192.0,2.0,0,0.0,0.0,962.98,1683050898.0,2.0,2.0,4320.0,3712.0,,0.0,1124.13,1061.58,7747.256588759269,,0.0,1113.31,0.0,0.0,0.5,2.0,2,,,1017.19,4352.0,4384.0
,,1056.54,4288.0,16,2.0,0.0,2.0,,0.0,0.0,1183.72,103,8,2.0,4064.0,2752.0,10966,8128,8629.734852760203,2.0,1129.13,4192.0,2.0,0,0.0,0.0,962.98,1683050899.0,2.0,2.0,4320.0,3712.0,,2.53,1124.13,1061.58,8629.734852760203,,0.0,1113.31,0.0,0.0,1.84,2.0,3,,,115.87,4352.0,4384.0
4517.6945880265575,103936.0,1054.71,1088.0,17,3.0,0.0,3.0,0.0,0.0,0.0,1169.92,105,8,3.0,1088.0,896.0,22596,21216,8579.444233381942,3.0,1214.18,1088.0,3.0,0,0.0,0.0,1143.07,1683050901.0,3.0,3.0,1056.0,800.0,7.097425329498947,1.19,1180.32,1113.85,8579.444233381942,1.0,0.0,1066.54,0.0,0.0,0.86,3.0,3,2.0,32064.0,687.14,960.0,1152.0
,,1268.59,2816.0,18,3.0,0.0,3.0,,0.0,0.0,666.89,106,8,3.0,2816.0,2592.0,34437,32864,8867.142959240828,3.0,1160.73,2912.0,3.0,0,0.0,0.0,1211.94,1683050902.0,3.0,3.0,2528.0,2624.0,,0.0,1026.17,963.3,8867.142959240828,,0.0,1195.42,0.0,0.0,0.5,3.0,3,,,1086.41,2016.0,2912.0
,,1165.0,4480.0,19,3.0,0.0,3.0,,0.0,0.0,1150.0,107,8,3.0,4288.0,3744.0,46925,32864,8867.142959240828,3.0,1064.87,4384.0,3.0,0,0.0,0.0,1233.05,1683050903.0,3.0,3.0,3936.0,4064.0,,0.0,1143.32,1115.84,8867.142959240828,,0.0,1164.84,0.0,0.0,0.5,3.0,3,,,830.22,3552.0,4416.0
,,1165.0,4480.0,20,3.0,0.0,3.0,,0.0,0.0,1150.0,109,8,3.0,4288.0,3744.0,59403,32864,8867.142959240828,3.0,1064.87,4384.0,3.0,0,0.0,0.0,1233.05,1683050905.0,3.0,3.0,3936.0,4064.0,,0.0,1143.32,1115.84,8867.142959240828,,0.0,1164.84,0.0,0.0,0.5,3.0,3,,,830.22,3552.0,4416.0
,,1165.0,4480.0,21,3.0,0.0,3.0,,0.0,0.0,1150.0,110,8,3.0,4288.0,3744.0,14487,0,8867.142959240828,3.0,1064.87,4384.0,3.0,0,0.0,0.0,1233.05,1683050906.0,3.0,3.0,3936.0,4064.0,,2.06,1143.32,1115.84,8867.142959240828,,0.0,1164.84,0.0,0.0,1.5,3.0,4,,,830.22,3552.0,4416.0
4676.799604728479,136800.0,1165.0,0.0,22,4.0,0.0,4.0,0.0,0.0,0.0,1150.0,112,8,4.0,0.0,0.0,26906,0,8867.142959240828,4.0,1064.87,0.0,4.0,0,0.0,0.0,1233.05,1683050908.0,4.0,4.0,0.0,0.0,7.02702762093395,0.66,1143.32,1115.84,8867.142959240828,1.0,0.0,1164.84,0.0,0.0,0.5,4.0,4,3.0,32864.0,830.22,0.0,0.0
