03_hivemind/num_peers,02_timing/backward_time_s,memory/used_memory_sys_MB,disk/counter/disk_write_sys_count,01_general/locally_processed_samples,01_general/lr,01_general/step,02_timing/loss_calc_time_s,memory/available_memory_sys_MB,memory/used_memory_sys_percent,process/memory/shared_memory_proc_MB,bandwidth/net_recv_sys_bandwidth_Mbits,02_timing/step_time_s,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,disk/counter/disk_read_sys_count,cpu/interrupts/soft_interrupts_count,cpu/load/avg_sys_load_one_min_percent,_timestamp,cpu/logical_core_count,02_timing/forward_time_s,memory/total_memory_sys_MB,cpu/interrupts/ctx_switches_count,process/memory/lib_memory_proc_MB,02_timing/dataload_cuda_move_time_s,process/memory/text_resident_set_proc_MB,_step,_runtime,03_hivemind/global_epoch,01_general/minibatch_loss,disk/time/disk_write_time_sys_s,process/involuntary_proc_ctx_switches,process/memory/virtual_memory_size_proc_MB,02_timing/dataload_time_s,disk/time/disk_busy_time_sys_s,process/voluntary_proc_ctx_switches,bandwidth/net_sent_sys_bandwidth_Mbits,cpu/load/avg_sys_load_five_min_percent,process/memory/resident_set_size_proc_MB,02_timing/opt_step_time_s,disk/time/disk_read_time_sys_s,01_general/dataset_iteration_count,process/memory/dirty_pages_proc_count,bandwidth/disk_write_sys_bandwidth_MBs,cpu/load/avg_sys_load_fifteen_min_percent
,,,,,,,,,,,,,,,,,,,1680687354.0,30.0,,211076.599808,,,,,0,1,,,,,,,,,,,,,,,,,
,,1157.492736,0.0,,,,,208174.46912,1.4,179.228672,1.096258070467926,,0.0,0.0,16.0,0.0,5.0,0.5666666666666667,1680687354.0,,,,24.0,2481.012736,,2.719744,1,1,,,0.0,52.0,9963.380736,,0.0,124.0,0.7182380466468995,0.9000000000000001,395.395072,,0.0,,0.0,0.0,0.7666666666666667
,,1542.590464,3.0,,,,,207789.400064,1.6,183.156736,1.0618458317935233,,0.0,0.0,3552.0,0.0,1502.0,0.5666666666666667,1680687355.0,,,,3601.0,2742.468608,,2.719744,2,2,,,0.0,58.0,10358.796288,,0.008000000000009777,142.0,0.4707560400522518,0.9000000000000001,643.641344,,0.0,,0.0,0.012254368664324349,0.7666666666666667
,,2605.756416,93.0,,,,,206715.744256,2.1,432.08704,0.13950914831925385,,0.0,0.0,5375.0,0.0,2391.0,0.5666666666666667,1680687356.0,,,,4974.0,3734.77376,,2.719744,3,3,,,0.05299999999999727,64.0,12225.536,,0.020000000000010232,154.0,0.1485426888677944,0.9000000000000001,1874.558976,,0.0,,0.0,0.7722240741591506,0.7666666666666667
,,3403.403264,94.0,,,,,205532.225536,2.6,851.173376,0.2397255800475381,,0.0,0.0,728474.0,0.0,5332.0,8.266666666666666,1680687357.0,,,,13701.0,4720.103424,,2.719744,4,4,,,0.05400000000008731,75.0,16784.871424,,0.02400000000000091,1044.0,0.25028600273594465,2.5,2990.395392,,0.0,,0.0,0.004080706725626577,1.2666666666666666
,,3586.2528,95.0,,,,,205250.076672,2.8,945.00864,21.69484732564232,,0.0,0.0,943016.0,0.0,9868.0,8.266666666666666,1680687358.0,,,,18576.0,4745.936896,,2.719744,5,5,,,0.05400000000008731,80.0,17105.813504,,0.028000000000005798,1139.0,0.6321413082002488,2.5,3084.713984,,0.0,,0.0,0.004076687199356305,1.2666666666666666
,,4781.871104,96.0,,,,,203952.914432,3.4,1152.053248,219.2700417348781,,0.0,0.0,948981.0,0.0,15962.0,8.266666666666666,1680687359.0,,,,21916.0,5210.263552,0.0029939650000869733,2.719744,6,6,,,0.05400000000008731,85.0,18119.08608,,0.03200000000001069,1143.0,0.45699839758261795,2.5,3755.66336,,0.0,,0.0,0.004085971874396215,1.2666666666666666
1.0,0.13727247599990733,,,32.0,0.0001,0.0,0.00019592600006035354,,,,,2.5168727540001328,,,,,,,1680687360.0,,1.3896462110001266,,,,,,7,7,0.0,7.12744140625,,,,0.982495321999977,,,,,,0.0042688539999744535,,0.0,,,
1.0,0.04497531499987417,,,64.0,0.0001,1.0,0.0003353639999659208,,,,,0.10974574299984852,,,,,,,1680687360.0,,0.05537182000011853,,,,0.002504102999864699,,8,7,0.0,7.1097412109375,,,,0.002498773000070287,,,,,,0.004060367999954906,,0.0,,,
1.0,0.04500113400013106,,,96.0,0.0001,2.0,0.00033657999983915943,,,,,0.11020907899956,,,,,,,1680687360.0,,0.05548076499985655,,,,0.0025335129998893535,,9,7,0.0,7.00537109375,,,,0.0028598999999758234,,,,,,0.003997186999868063,,0.0,,,
,,5473.021952,100.0,,,,,203279.9744,3.7,1375.801344,40.32229890231624,,0.0,0.0,951789.0,0.0,18001.0,8.266666666666666,1680687360.0,,,,24670.0,5907.955712,0.0025050520000604592,2.719744,10,7,,,0.05600000000004002,89.0,22894.186496,,0.04800000000000182,1198.0,0.32892332478679176,2.5,4654.747648,,0.0,,0.0,0.016341240794155505,1.2666666666666666
1.0,0.04498152099995423,,,128.0,0.0001,3.0,0.0003539480001109041,,,,,0.11218488900021839,,,,,,,1680687360.0,,0.057475825999972585,,,,,,11,7,0.0,7.072021484375,,,,0.002849137000112023,,,,,,0.0040194050000081916,,0.0,,,
1.0,0.04534662299988668,,,160.0,0.0001,4.0,0.0003339200000027631,,,,,0.10950553900011073,,,,,,,1680687360.0,,0.05482316200004789,,,,0.002507474000140064,,12,7,0.0,7.0859375,,,,0.0025136570000086067,,,,,,0.003980703000024732,,0.0,,,
1.0,0.04485758700002407,,,192.0,0.0001,5.0,0.000343793999945774,,,,,0.10948607499994978,,,,,,,1680687360.0,,0.05530242800000451,,,,0.0025418139998691913,,13,7,0.0,6.967041015625,,,,0.002496576000112327,,,,,,0.003943875999993907,,0.0,,,
1.0,0.045254265000039595,,,224.0,0.0001,6.0,0.00035891399988940975,,,,,0.11009458799981076,,,,,,,1680687360.0,,0.05527485500010698,,,,0.0025247359999411856,,14,7,0.0,7.2010498046875,,,,0.0026431619999129907,,,,,,0.004038655999920593,,0.0,,,
1.0,0.04516269399982775,,,256.0,0.0001,7.0,0.000344435999977577,,,,,0.10953291799978615,,,,,,,1680687361.0,,0.0550033849999636,,,,0.0025772980000056123,,15,8,0.0,7.17431640625,,,,0.002474994000067454,,,,,,0.003970110999944154,,0.0,,,
1.0,0.04510422499993183,,,288.0,0.0001,8.0,0.00036044000012225297,,,,,0.10967531400001462,,,,,,,1680687361.0,,0.05510696999999709,,,,0.0025379239998528647,,16,8,0.0,7.1317138671875,,,,0.002594974000203365,,,,,,0.00397078099990722,,0.0,,,
