process/voluntary_proc_ctx_switches,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/virtual_memory_size_proc_MB,cpu/interrupts/interrupts_count,disk/counter/disk_write_sys_count,_runtime,03_hivemind/global_epoch,02_timing/dataload_time_s,memory/used_memory_sys_MB,memory/total_memory_sys_MB,disk/time/disk_read_time_sys_s,process/memory/dirty_pages_proc_count,cpu/load/avg_sys_load_five_min_percent,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/text_resident_set_proc_MB,_timestamp,01_general/lr,02_timing/step_time_s,02_timing/loss_calc_time_s,memory/used_memory_sys_percent,cpu/interrupts/ctx_switches_count,01_general/dataset_iteration_count,bandwidth/disk_read_sys_bandwidth_MBs,01_general/locally_processed_samples,process/memory/shared_memory_proc_MB,_step,01_general/step,cpu/logical_core_count,02_timing/forward_time_s,disk/time/disk_busy_time_sys_s,02_timing/dataload_cuda_move_time_s,cpu/load/avg_sys_load_one_min_percent,process/memory/data_resident_set_proc_MB,01_general/minibatch_loss,cpu/interrupts/soft_interrupts_count,bandwidth/disk_write_sys_bandwidth_MBs,cpu/load/avg_sys_load_fifteen_min_percent,02_timing/backward_time_s,memory/available_memory_sys_MB,disk/time/disk_write_time_sys_s,disk/counter/disk_read_sys_count,process/involuntary_proc_ctx_switches,03_hivemind/num_peers,02_timing/opt_step_time_s,process/memory/lib_memory_proc_MB,process/memory/resident_set_size_proc_MB
,,,,,5,0.0,0.0025864379999802622,,,,,,,,1680687170.0,0.0001,0.05347559800009094,0.00019935000000259606,,,0.0,,320.0,,16,9.0,,0.018476357000054122,,0.002392042999986188,,,6.936767578125,,,,0.027931053000088468,,,,,1.0,0.0018903569999793035,,
,,,,,5,0.0,0.002507928999989417,,,,,,,,1680687170.0,0.0001,0.041784049999932904,0.00018856699989555636,,,0.0,,352.0,,17,10.0,,0.018359330999942358,,0.002467100999979266,,,7.0911865234375,,,,0.016681098000049133,,,,,1.0,0.0015800240000771737,,
,,,,,5,0.0,0.0025414620000674404,,,,,,,,1680687170.0,0.0001,0.04140831100028208,0.000179632000026686,,,0.0,,384.0,,18,11.0,,0.018187287000046126,,0.002366711000036048,,,7.0909423828125,,,,0.016537397000092824,,,,,1.0,0.0015958220000129586,,
,,,,,6,0.0,0.002558651000072132,,,,,,,,1680687171.0,0.0001,0.04195028000003731,0.000200875000018641,,,0.0,,416.0,,19,12.0,,0.018367562999969778,,0.002354250000053071,,,7.1982421875,,,,0.016868680000015956,,,,,1.0,0.0016002609999077322,,
,,,,,6,0.0,0.00249287299993739,,,,,,,,1680687171.0,0.0001,0.04123967299995002,0.00017497800001819996,,,0.0,,448.0,,20,13.0,,0.018139990000008765,,0.002356943999984651,,,7.2276611328125,,,,0.016465499999981148,,,,,1.0,0.0016093880000198624,,
,,,,,6,0.0,0.0026082460000225183,,,,,,,,1680687171.0,0.0001,0.04176724500007367,0.00017671599994173448,,,0.0,,480.0,,21,14.0,,0.018277810000085992,,0.0023620370000116964,,,7.14453125,,,,0.016747777999967184,,,,,1.0,0.0015946580000445465,,
,,,,,6,0.0,0.0024899039999581873,,,,,,,,1680687171.0,0.0001,0.041113324999969336,0.00017572899992046587,,,0.0,,512.0,,22,15.0,,0.018209709000075236,,0.002366444000017509,,,7.1182861328125,,,,0.01629147300002387,,,,,1.0,0.0015800659999740674,,
,,,,,6,0.0,0.002591513000083978,,,,,,,,1680687171.0,0.0001,0.043231327000171405,0.00019751700006054307,,,0.0,,544.0,,23,16.0,,0.018364670999972077,,0.0023500390000208426,,,6.8739013671875,,,,0.016403147000005447,,,,,1.0,0.003324440000028517,,
,,,,,6,0.0,0.002576115000010759,,,,,,,,1680687171.0,0.0001,0.04144819099997221,0.00017726199996559444,,,0.0,,576.0,,24,17.0,,0.018205162999947788,,0.0023853050000752773,,,7.1258544921875,,,,0.016530862999957208,,,,,1.0,0.0015734830000155853,,
,,,,,6,0.0,0.0008083750000196233,,,,,,,,1680687171.0,0.0001,0.0399456340001052,0.00018940699999347999,,,0.0,,608.0,,25,18.0,,0.018327083000031053,,0.0023874240000623104,,,6.9957275390625,,,,0.016631880999966597,,,,,1.0,0.0016014640000321378,,
