_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,03_hivemind/num_peers,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,02_timing/dataload_cuda_move_time_s,01_general/dataset_iteration_count,01_general/step
15,14,,,1696112711,6.375,0.0,0.08400000000000318,3181.248512,0.004086130285377552,10806.0,0.0,1114.464256,21.0,3109.29408,0.0,0.0,0.0,0.5,4909.0,0.0,28920.64768,2.711552,738.0,0.012999999999919964,3286.163456,0.0,97852.0,12.8,5.375,14637.965312,27.0,,,,,,,,,,,,,,
16,15,,,1696112712,6.25,0.0,0.08800000000002228,3181.50656,0.004086396589270149,11087.0,0.04364941985187808,1114.464256,22.0,3109.29408,0.0,0.0,0.0,0.5,5030.0,0.008300493071728149,28920.397824,2.711552,738.0,0.012999999999919964,3286.163456,0.0,98040.0,12.8,5.25,14637.965312,27.0,,,,,,,,,,,,,,
17,16,,,1696112713,6.25,0.0,0.09600000000000364,3181.498368,0.03268841252499744,11518.0,0.01818771780672272,1114.464256,25.0,3109.29408,0.0,0.0,0.0,0.5,5252.0,0.05311068979048175,28920.406016,2.711552,738.0,0.015000000000327418,3286.163456,0.0,98355.0,12.8,5.25,14637.965312,27.0,,,,,,,,,,,,,,
18,17,,,1696112714,6.25,0.0,0.10000000000002274,3181.756416,0.004085604575722042,11779.0,0.04418357916528676,1114.464256,26.0,3109.29408,0.0,0.0,0.0,0.5,5375.0,0.00872978789509961,28920.147968,2.711552,738.0,0.016000000000076398,3286.163456,0.0,98534.0,12.8,5.25,14637.965312,27.0,,,,,,,,,,,,,,
19,18,,,1696112715,6.25,0.0,0.10400000000004184,3181.75232,0.004085821256659158,12022.0,0.0,1114.464256,27.0,3109.29408,0.0,0.0,0.0,0.5,5481.0,0.0,28920.147968,2.711552,738.0,0.016000000000076398,3286.163456,0.0,98695.0,12.8,5.25,14637.965312,27.0,,,,,,,,,,,,,,
20,19,,,1696112716,6.25,0.0,0.10800000000000409,3181.748224,0.0040862925927655815,12368.0,0.04219575963816338,1114.464256,28.0,3109.29408,0.0,0.0,0.0,0.5,5635.0,0.008699333836849133,28920.152064,2.711552,738.0,0.017000000000280124,3286.163456,0.0,98932.0,12.8,5.25,14637.965312,27.0,,,,,,,,,,,,,,
21,20,,,1696112717,6.25,0.0,0.11200000000002319,3181.744128,0.004086465601626649,12660.0,0.0,1114.464256,29.0,3109.29408,0.0,0.0,0.0,0.375,5721.0,0.0,28920.152064,2.711552,738.0,0.018000000000029104,3286.163456,0.0,99106.0,12.8,5.25,14637.965312,27.0,,,,,,,,,,,,,,
22,21,,,1696112718,6.25,0.0,0.12000000000000455,3181.735936,0.03269170928608416,12991.0,0.04364215487447283,1114.464256,32.0,3109.29408,0.0,0.0,0.0,0.375,5865.0,0.008172927329687435,28920.172544,2.711552,738.0,0.01900000000023283,3286.163456,0.0,99333.0,12.8,5.25,14637.965312,27.0,,,,,,,,,,,,,,
23,22,,,1696112719,6.25,0.0,0.12400000000002365,3182.215168,0.06946712277676177,13666.0,0.0402085666996425,1114.464256,36.0,3109.29408,0.0,0.0,0.0,0.375,6138.0,0.02418260363005184,28919.689216,2.711552,738.0,0.021999999999934516,3286.163456,0.0,99807.0,12.8,5.25,14637.965312,27.0,,,,,,,,,,,,,,
24,23,,,1696112720,6.25,0.0,0.12800000000004275,3182.927872,0.0040858163944613645,14161.0,0.10453944298437665,1114.464256,37.0,3109.29408,0.0,0.0,0.0,0.375,6329.0,0.02447499783153487,28918.976512,2.711552,738.0,0.021999999999934516,3286.163456,0.0,100163.0,12.8,5.25,14637.965312,27.0,,,,,,,,,,,,,,
