_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,02_timing/backward_time_s,03_hivemind/num_peers,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,1,8.0,31557.189632,1681077495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1681077495,6.875000000000001,0.0,0.0,688.222208,0.0,17.0,0.22089819870920718,176.41472,0.0,399.458304,0.0,0.0,0.0,4.875,9.0,0.11676046629229168,30407.708672,2.654208,83.0,0.0,1009.635328,0.0,22.0,3.6,9.25,8492.654592,28.0,,,,,,,,,,,,,,
2,2,,,1681077496,6.875000000000001,0.0,0.008000000000009777,840.101888,0.012251493547641202,2361.0,0.29840682070519364,178.794496,3.0,401.956864,0.0,0.0,0.0,4.875,951.0,0.2710642946867006,30255.824896,2.654208,96.0,0.0020000000004074536,1018.159104,0.0,2341.0,4.1,9.25,8568.160256,29.0,,,,,,,,,,,,,,
3,3,,,1681077497,6.875000000000001,0.0,0.015999999999991132,1130.532864,0.013080110104720563,5250.0,0.14160752016245232,180.391936,7.0,682.57792,0.0,0.0,0.0,4.875,2129.0,0.27289912532807115,29965.389824,2.654208,140.0,0.006000000000312866,1306.824704,0.0,4737.0,5.0,9.25,8923.803648,30.0,,,,,,,,,,,,,,
4,4,,,1681077498,6.875000000000001,0.0,0.02400000000000091,1379.332096,0.32171897912892033,5969.0,0.1455201768584546,181.047296,66.0,931.405824,0.0,0.0,0.0,4.875,2683.0,0.31993000870890254,29716.590592,2.654208,170.0,0.07600000000002183,2580.062208,0.0,5590.0,5.8,9.25,10197.028864,31.0,,,,,,,,,,,,,,
5,5,,,1681077499,7.000000000000001,0.0,0.036000000000001364,2111.61088,0.26947450221406344,6935.0,0.15093347250038203,181.047296,73.0,1661.730816,0.0,0.0,0.0,5.5,3243.0,0.12968141436825734,28984.307712,2.654208,170.0,0.08399999999983265,2580.062208,0.0,6641.0,8.2,9.25,10197.028864,32.0,,,,,,,,,,,,,,
6,6,,,1681077500,7.000000000000001,0.0,0.03999999999999204,2508.73856,0.00408344000028555,7946.0,0.22644748432302442,182.685696,74.0,2053.967872,0.0,0.0,0.0,5.5,4554.0,0.9044261316742461,28587.184128,2.654208,170.0,0.08500000000003638,2681.004032,0.0,8092.0,9.4,9.25,10297.970688,33.0,,,,,,,,,,,,,,
7,7,,,1681077501,7.000000000000001,0.0,0.04800000000000182,3060.764672,0.004083623448639455,8405.0,0.0767912628069545,182.685696,75.0,2607.341568,0.0,0.0,0.0,5.5,4974.0,0.09239995634116022,28035.15392,2.654208,170.0,0.0860000000002401,3231.338496,0.0,8819.0,11.2,9.25,10848.305152,34.0,,,,,,,,,,,,,,
8,8,,,1681077502,7.000000000000001,0.0,0.056000000000011596,3554.500608,0.004083313828445172,8896.0,0.13914370374707208,182.685696,76.0,3099.46368,0.0,0.0,0.0,5.5,5352.0,0.10867835455770622,27541.417984,2.654208,170.0,0.0860000000002401,3722.678272,0.0,9554.0,12.7,9.25,11339.644928,37.0,,,,,,,,,,,,,,
9,9,,,1681077503,7.000000000000001,0.0,0.060000000000002274,3554.304,0.0040839282617122314,9130.0,0.00035096270375522203,182.685696,77.0,3099.46368,0.0,0.0,0.0,5.5,5562.0,0.0,27541.614592,2.654208,170.0,0.08700000000044383,3722.678272,0.0,10002.0,12.7,9.25,11339.644928,39.0,,,,,,,,,,,,,,
10,10,,,1681077504,7.000000000000001,0.0,0.06399999999999295,3554.369536,0.004082514274389672,9425.0,0.0794017130063586,182.685696,78.0,3099.46368,0.0,0.0,0.0,6.0,5792.0,0.042140796746440216,27541.557248,2.654208,175.0,0.08800000000064756,3722.678272,0.0,10513.0,12.7,9.375,11339.644928,42.0,,,,,,,,,,,,,,
11,11,,,1681077505,7.000000000000001,0.0,0.0759999999999934,3554.357248,0.10207338397804015,9751.0,0.014497610468320174,182.685696,84.0,3099.46368,0.0,0.0,0.0,6.0,6024.0,0.007376396891283294,27541.557248,2.654208,175.0,0.0929999999998472,3722.678272,0.0,11040.0,12.7,9.375,11339.644928,44.0,,,,,,,,,,,,,,
12,12,,,1681077506,7.000000000000001,0.0,0.0800000000000125,3994.660864,0.004083546763536972,9968.0,0.061787571844779475,182.685696,85.0,3539.238912,0.0,0.0,0.0,6.0,6223.0,0.02231594500698931,27101.253632,2.654208,175.0,0.09400000000005093,4750.884864,0.0,11493.0,14.1,9.375,12367.85152,46.0,,,,,,,,,,,,,,
13,13,,,1681077507,7.000000000000001,0.0,0.08400000000000318,4583.120896,0.004085764897970769,10138.0,0.009105190802942748,182.685696,86.0,4126.441472,0.0,0.0,0.0,6.0,6417.0,0.003263823913919674,26512.797696,2.654208,175.0,0.09500000000025466,4750.884864,0.0,11914.0,16.0,9.375,12367.85152,47.0,,,,,,,,,,,,,,
14,14,,,1681077508,7.000000000000001,0.0,0.08799999999999386,4586.758144,0.004083378854496877,10367.0,0.05491825558436912,182.714368,87.0,4129.8944,0.0,0.0,0.0,6.0,6614.0,0.019523655168577105,26509.164544,2.654208,175.0,0.09600000000045839,4776.456192,0.0,12387.0,16.0,9.375,12594.356224,49.0,,,,,,,,,,,,,,
15,15,,,1681077509,7.000000000000001,0.0,0.09600000000000364,3840.016384,0.004084289436730206,10708.0,0.014127493191808536,300.834816,88.0,3420.778496,0.0,0.0,0.0,6.5,6938.0,0.008822703350005007,27243.323392,2.654208,186.0,0.09700000000066211,3957.809152,0.0,13167.0,13.7,9.375,13153.488896,53.0,,,,,,,,,,,,,,
16,16,,,1681077510,7.000000000000001,0.0,0.10800000000000409,4498.661376,0.05311551210999618,11017.0,0.07850817428440132,419.520512,93.0,4194.635776,0.0,0.0,0.0,6.5,7216.0,0.07401538083487248,26584.666112,2.654208,186.0,0.10100000000056752,4613.177344,0.0,13709.0,15.8,9.375,14110.846976,58.0,,,,,,,,,,,,,,
