_step,04_peers/peer_7_epoch,03_hivemind/overshot_TBS,04_peers/peer_2_epoch_oos,04_peers/peer_8_samples_accumulated,04_peers/peer_2_epoch,03_hivemind/num_clients,04_peers/peer_8_epoch_oos,04_peers/peer_4_samples_per_second,04_peers/peer_6_samples_per_second,04_peers/peer_7_samples_accumulated,03_hivemind/global_samples_accumulated,04_peers/peer_2_samples_accumulated,03_hivemind/num_peers,04_peers/peer_3_epoch,04_peers/peer_5_epoch,04_peers/peer_1_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_3_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/per_epoch_training_samples,03_hivemind/optimistic_total_samples_per_second,_timestamp,04_peers/peer_4_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_2_samples_per_second,04_peers/peer_3_samples_accumulated,04_peers/peer_6_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/epoch_s,04_peers/peer_4_epoch,_runtime,04_peers/peer_1_epoch,04_peers/peer_5_epoch_oos,03_hivemind/total_training_samples,04_peers/peer_8_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_6_epoch,03_hivemind/global_epoch,03_hivemind/undershot_TBS,04_peers/peer_3_epoch_oos,04_peers/peer_6_epoch_oos,04_peers/peer_1_samples_per_second,04_peers/peer_7_samples_per_second,04_peers/peer_8_epoch,03_hivemind/reached_TBS,04_peers/peer_7_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_5_samples_per_second,04_peers/peer_4_samples_accumulated
15,0.0,,0.0,2144.0,0.0,0,0.0,252.96,253.32,2176.0,32928,4896.0,8,0.0,0.0,0.0,0.5,251.72,4992.0,34465,,2019.1926085042164,1680701336.0,0.0,,253.21,4896.0,4000.0,2019.1926085042164,,0.0,112,0.0,0.0,,251.63,4000.0,0.0,0,,0.0,0.0,254.42,252.19,0.0,,0.0,0.0,250.68,4128.0
16,0.0,,0.0,2368.0,0.0,0,0.0,252.36,252.61,2368.0,32928,5120.0,8,0.0,0.0,0.0,0.5,251.11,5216.0,37279,,2019.1926085042164,1680701338.0,0.0,,252.25,5120.0,4192.0,2019.1926085042164,,0.0,114,0.0,0.0,,252.36,4224.0,0.0,0,,0.0,0.0,254.36,252.42,0.0,,0.0,0.0,251.73,4320.0
17,0.0,,0.0,2368.0,0.0,0,0.0,252.36,252.61,2368.0,32928,5120.0,8,0.0,0.0,0.0,0.5,251.11,5216.0,40306,,2019.1926085042164,1680701339.0,0.0,,252.25,5120.0,4192.0,2019.1926085042164,,0.0,115,0.0,0.0,,252.36,4224.0,0.0,0,,0.0,0.0,254.36,252.42,0.0,,0.0,0.0,251.73,4320.0
18,0.0,,0.0,2368.0,0.0,0,0.0,252.36,252.61,2368.0,32928,5120.0,8,0.0,0.0,0.0,0.5,251.11,5216.0,43134,,2019.1926085042164,1680701341.0,0.0,,252.25,5120.0,4192.0,2019.1926085042164,,0.0,117,0.0,0.0,,252.36,4224.0,0.0,0,,0.0,0.0,254.36,252.42,0.0,,0.0,0.0,251.73,4320.0
19,0.0,,0.0,2368.0,0.0,0,0.0,252.36,252.61,2368.0,32928,5120.0,8,0.0,0.0,0.0,0.5,251.11,5216.0,45943,,2019.1926085042164,1680701342.0,0.0,,252.25,5120.0,4192.0,2019.1926085042164,,0.0,118,0.0,0.0,,252.36,4224.0,0.0,0,,0.0,0.0,254.36,252.42,0.0,,0.0,0.0,251.73,4320.0
20,0.0,,0.0,2368.0,0.0,0,0.0,252.36,252.61,2368.0,32928,5120.0,8,0.0,0.0,0.0,0.5,251.11,5216.0,48772,,2019.1926085042164,1680701343.0,0.0,,252.25,5120.0,4192.0,2019.1926085042164,,0.0,119,0.0,0.0,,252.36,4224.0,0.0,0,,0.0,0.0,254.36,252.42,0.0,,0.0,0.0,251.73,4320.0
21,0.0,,0.0,2368.0,0.0,0,0.0,252.36,252.61,2368.0,32928,5120.0,8,0.0,0.0,0.0,0.5,251.11,5216.0,51595,,2019.1926085042164,1680701345.0,0.0,,252.25,5120.0,4192.0,2019.1926085042164,,0.0,121,0.0,0.0,,252.36,4224.0,0.0,0,,0.0,0.0,254.36,252.42,0.0,,0.0,0.0,251.73,4320.0
22,0.0,,0.0,2368.0,0.0,0,0.0,252.36,252.61,2368.0,32928,5120.0,8,0.0,0.0,0.0,0.5,251.11,5216.0,54418,,2019.1926085042164,1680701346.0,0.0,,252.25,5120.0,4192.0,2019.1926085042164,,0.0,122,0.0,0.0,,252.36,4224.0,0.0,0,,0.0,0.0,254.36,252.42,0.0,,0.0,0.0,251.73,4320.0
23,0.0,,0.0,2368.0,0.0,0,0.0,252.36,252.61,2368.0,32928,5120.0,8,0.0,0.0,0.0,0.5,251.11,5216.0,57243,,2019.1926085042164,1680701348.0,0.0,,252.25,5120.0,4192.0,2019.1926085042164,,0.0,124,0.0,0.0,,252.36,4224.0,0.0,0,,0.0,0.0,254.36,252.42,0.0,,0.0,0.0,251.73,4320.0
24,0.0,,0.0,2368.0,0.0,0,0.0,252.36,252.61,2368.0,32928,5120.0,8,0.0,0.0,0.0,0.5,251.11,5216.0,60073,,2019.1926085042164,1680701349.0,0.0,,252.25,5120.0,4192.0,2019.1926085042164,,0.0,125,0.0,0.0,,252.36,4224.0,0.0,0,,0.0,0.0,254.36,252.42,0.0,,0.0,0.0,251.73,4320.0
