timestamp,local_hostname,target_hostname,target_ip,bandwidth,bandwidth_metric,avg_ping_ms
2023-04-08_22-19-25,gc-t4-1,gc-t4-2,34.133.146.179,6.83,Gbits/sec,0.736
2023-04-08_22-19-40,gc-t4-1,gc-t4-3,34.77.37.168,222,Mbits/sec,103.221
2023-04-08_22-19-56,gc-t4-1,gc-t4-4,34.76.88.181,210,Mbits/sec,103.301
2023-04-08_22-20-11,gc-t4-1,gc-t4-2,34.133.146.179,6.83,Gbits/sec,0.729
2023-04-08_22-20-26,gc-t4-1,gc-t4-3,34.77.37.168,210,Mbits/sec,103.193
2023-04-08_22-20-41,gc-t4-1,gc-t4-4,34.76.88.181,209,Mbits/sec,103.198
2023-04-08_22-20-57,gc-t4-1,gc-t4-2,34.133.146.179,6.93,Gbits/sec,0.745
2023-04-08_22-21-12,gc-t4-1,gc-t4-3,34.77.37.168,222,Mbits/sec,103.184
2023-04-08_22-21-27,gc-t4-1,gc-t4-4,34.76.88.181,221,Mbits/sec,103.106
2023-04-08_22-21-43,gc-t4-1,gc-t4-2,34.133.146.179,6.93,Gbits/sec,0.696
2023-04-08_22-21-58,gc-t4-1,gc-t4-3,34.77.37.168,210,Mbits/sec,103.224
2023-04-08_22-22-13,gc-t4-1,gc-t4-4,34.76.88.181,209,Mbits/sec,103.248
2023-04-08_22-22-29,gc-t4-1,gc-t4-2,34.133.146.179,6.89,Gbits/sec,0.713
2023-04-08_22-22-44,gc-t4-1,gc-t4-3,34.77.37.168,209,Mbits/sec,103.207
2023-04-08_22-22-59,gc-t4-1,gc-t4-4,34.76.88.181,210,Mbits/sec,103.223
